Beekeepers Exclusive to State,Colonies Exclusive to State,if than for year,Path,Region,State,Year,Year (copy),Beekeepers,Beekeepers Calc,Colonies,Colonies Calc,Colonies per keeper,Total Winter All Loss
93.3%,94.7%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Michigan,2007-08,2007-08,15,6607,6607,6607,440.466666667,56%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Tennessee,2008-09,2008-09,7,42,42,42,6,8%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maryland,2008-09,2008-09,15,5931,5931,5931,395.4,14%
90.5%,62.2%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Michigan,2008-09,2008-09,21,8722,8722,8722,415.333333333,18%
95.5%,87.1%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Georgia,2008-09,2008-09,44,7269,7269,7269,165.204545455,18%
97.4%,0.9%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Massachusetts,2008-09,2008-09,38,20174,20174,20174,530.894736842,20%
62.5%,0.1%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Washington,2008-09,2008-09,8,43708,43708,43708,5463.5,20%
92.1%,0.4%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maine,2008-09,2008-09,38,44971,44971,44971,1183.447368421,22%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Arkansas,2008-09,2008-09,28,7394,7394,7394,264.071428571,22%
89.3%,36.6%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New York,2008-09,2008-09,28,35182,35182,35182,1256.5,24%
12.5%,0%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,North Dakota,2008-09,2008-09,24,209297,209297,209297,8720.708333333,25%
30%,2.3%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,California,2008-09,2008-09,60,266566,266566,266566,4442.766666667,26%
55%,29.1%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Florida,2008-09,2008-09,20,28304,28304,28304,1415.2,27%
0%,0%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,MultiStateOperation,MultiStateOperation,2008-09,2008-09,52,287476,287476,287476,5528.384615385,27%
22.2%,1.1%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,South Dakota,2008-09,2008-09,27,162597,162597,162597,6022.111111111,27%
9.1%,0%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Texas,2008-09,2008-09,11,49401,49401,49401,4491,29%
92.9%,87.8%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Idaho,2008-09,2008-09,14,43449,43449,43449,3103.5,33%
96.3%,72%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Utah,2008-09,2008-09,27,18921,18921,18921,700.777777778,36%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,North Carolina,2008-09,2008-09,51,7635,7635,7635,149.705882353,39%
98.1%,55%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Pennsylvania,2008-09,2008-09,262,11744,11744,11744,44.824427481,41%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Rhode Island,2008-09,2008-09,5,30,30,30,6,41%
70%,48.9%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Louisiana,2008-09,2008-09,10,60835,60835,60835,6083.5,42%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Ohio,2008-09,2008-09,9,51,51,51,5.666666667,45%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Wisconsin,2008-09,2008-09,17,3871,3871,3871,227.705882353,45%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Virginia,2008-09,2008-09,36,161,161,161,4.472222222,46%
73.3%,7.2%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Mississippi,2008-09,2008-09,15,18352,18352,18352,1223.466666667,48%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Iowa,2008-09,2008-09,17,11703,11703,11703,688.411764706,52%
77.4%,4%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Jersey,2009-10,2009-10,31,3046,3046,3046,98.258064516,10%
60%,1.1%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,West,Nevada,2009-10,2009-10,5,1851,1851,1851,370.2,11%
40%,7.1%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Arizona,2009-10,2009-10,5,2136,2136,2136,427.2,13%
93.8%,13.2%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,West,Utah,2009-10,2009-10,64,7768,7768,7768,121.375,21%
87.5%,92.2%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Hawaii,Hawaii,2009-10,2009-10,8,51,51,51,6.375,21%
96%,98.4%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Arkansas,2009-10,2009-10,50,447,447,447,8.94,24%
93.4%,80.8%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Hampshire,2009-10,2009-10,76,802,802,802,10.552631579,26%
26.7%,3.9%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Midwest,North Dakota,2009-10,2009-10,30,213327,213327,213327,7110.9,27%
92.6%,0.9%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,West,Idaho,2009-10,2009-10,27,23211,23211,23211,859.666666667,27%
12.5%,0%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Midwest,South Dakota,2009-10,2009-10,16,143276,143276,143276,8954.75,28%
70.6%,0.1%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Nebraska,2009-10,2009-10,17,85286,85286,85286,5016.823529412,29%
95.7%,95.3%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Alabama,2009-10,2009-10,46,1357,1357,1357,29.5,29%
95.2%,73.2%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Missouri,2009-10,2009-10,42,1045,1045,1045,24.880952381,29%
98.4%,84.4%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Tennessee,2009-10,2009-10,62,661,661,661,10.661290323,29%
94.1%,69.7%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Vermont,2009-10,2009-10,68,2648,2648,2648,38.941176471,29%
37.5%,0.1%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,West,Montana,2009-10,2009-10,24,105509,105509,105509,4396.208333333,30%
89.8%,3.9%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,West,Oregon,2009-10,2009-10,49,27497,27497,27497,561.163265306,30%
62.6%,6.4%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,West,California,2009-10,2009-10,166,333778,333778,333778,2010.710843373,32%
75.7%,0.9%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Minnesota,2009-10,2009-10,37,101437,101437,101437,2741.540540541,32%
92.4%,1.6%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,West,Washington,2009-10,2009-10,144,69351,69351,69351,481.604166667,33%
95%,14%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,West,Colorado,2009-10,2009-10,99,6627,6627,6627,66.939393939,33%
92.3%,33.2%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Wisconsin,2009-10,2009-10,155,12097,12097,12097,78.045161290,33%
0%,0%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,MultiStateOperation,MultiStateOperation,2009-10,2009-10,161,344782,344782,344782,2141.503105590,34%
88.9%,14.6%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Southeast,South Carolina,2009-10,2009-10,126,9819,9819,9819,77.928571429,34%
92.5%,93.5%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Rhode Island,2009-10,2009-10,67,262,262,262,3.910447761,37%
100%,100%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Southwest,New Mexico,2009-10,2009-10,9,3034,3034,3034,337.111111111,38%
97.1%,94.3%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Virginia,2009-10,2009-10,480,3181,3181,3181,6.627083333,38%
83%,8.5%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Texas,2009-10,2009-10,59,50739,50739,50739,859.983050847,39%
94.2%,80.8%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maryland,2009-10,2009-10,171,4145,4145,4145,24.239766082,39%
85.8%,31.3%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New York,2009-10,2009-10,162,22154,22154,22154,136.753086420,39%
90%,96.4%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Oklahoma,2009-10,2009-10,10,139,139,139,13.9,39%
70%,1.4%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Kansas,2009-10,2009-10,10,5251,5251,5251,525.1,39%
96.9%,57.7%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Pennsylvania,2009-10,2009-10,546,8843,8843,8843,16.195970696,43%
96.5%,34.2%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Michigan,2009-10,2009-10,231,11776,11776,11776,50.978354978,45%
95.8%,77.6%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Southeast,North Carolina,2009-10,2009-10,191,3126,3126,3126,16.366492147,46%
85.7%,3.3%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Mississippi,2009-10,2009-10,14,11196,11196,11196,799.714285714,46%
92%,8.9%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Georgia,2009-10,2009-10,87,7165,7165,7165,82.356321839,48%
88%,61.3%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Kentucky,2009-10,2009-10,25,613,613,613,24.52,49%
91.5%,61.1%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Southeast,West Virginia,2009-10,2009-10,117,1390,1390,1390,11.880341880,50%
87.9%,38.1%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Connecticut,2009-10,2009-10,58,742,742,742,12.793103448,51%
97%,34.8%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Ohio,2009-10,2009-10,203,4828,4828,4828,23.783251232,52%
89.5%,12.2%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Florida,2009-10,2009-10,153,32900,32900,32900,215.032679739,53%
93.3%,92.6%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Delaware,2009-10,2009-10,15,95,95,95,6.333333333,55%
92.1%,3.4%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maine,2009-10,2009-10,89,13945,13945,13945,156.685393258,57%
95.3%,18.3%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Indiana,2009-10,2009-10,85,4141,4141,4141,48.717647059,57%
96.9%,12.6%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Massachusetts,2009-10,2009-10,193,11361,11361,11361,58.865284974,63%
87.8%,27.1%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Illinois,2009-10,2009-10,49,958,958,958,19.551020408,73%
94.6%,55.7%,2009-2010,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Iowa,2009-10,2009-10,56,1141,1141,1141,20.375,73%
81.5%,1%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,West,Idaho,2010-11,2010-11,27,9325,9325,9325,345.370370370,6%
100%,100%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Hawaii,Hawaii,2010-11,2010-11,42,5392,5392,5392,128.380952381,8%
92.1%,5.9%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,West,Oregon,2010-11,2010-11,178,19611,19611,19611,110.174157303,10%
97.1%,97.9%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Alabama,2010-11,2010-11,34,476,476,476,14,11%
95.8%,98.9%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southwest,New Mexico,2010-11,2010-11,24,185,185,185,7.708333333,12%
95.2%,98%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Kansas,2010-11,2010-11,21,401,401,401,19.095238095,15%
93.5%,98.1%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Oklahoma,2010-11,2010-11,31,628,628,628,20.258064516,17%
87.5%,99.9%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,West,Wyoming,2010-11,2010-11,8,3481,3481,3481,435.125,19%
73.1%,0.3%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,West,Montana,2010-11,2010-11,26,41933,41933,41933,1612.807692308,20%
94.4%,83.4%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Tennessee,2010-11,2010-11,90,691,691,691,7.677777778,22%
94.7%,5.9%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,West,Washington,2010-11,2010-11,150,23991,23991,23991,159.94,23%
38.1%,0.4%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Midwest,North Dakota,2010-11,2010-11,21,131159,131159,131159,6245.666666667,25%
96.4%,75.6%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southeast,North Carolina,2010-11,2010-11,615,7423,7423,7423,12.069918699,25%
94.1%,17.3%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Louisiana,2010-11,2010-11,17,3411,3411,3411,200.647058824,25%
0%,0%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,MultiStateOperation,MultiStateOperation,2010-11,2010-11,127,222437,222437,222437,1751.472440945,25%
84.2%,1.4%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Texas,2010-11,2010-11,76,112874,112874,112874,1485.184210526,26%
68.8%,0.1%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Mississippi,2010-11,2010-11,16,96053,96053,96053,6003.3125,27%
95.8%,94.3%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Vermont,2010-11,2010-11,119,1551,1551,1551,13.033613445,27%
66.7%,0.7%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,West,Nevada,2010-11,2010-11,6,3775,3775,3775,629.166666667,27%
82.9%,12.7%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,West,California,2010-11,2010-11,327,248736,248736,248736,760.660550459,27%
100%,100%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Missouri,2010-11,2010-11,161,2350,2350,2350,14.596273292,29%
90%,29.5%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Jersey,2010-11,2010-11,110,2113,2113,2113,19.209090909,29%
81.3%,1%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Nebraska,2010-11,2010-11,16,79194,79194,79194,4949.625,29%
98.3%,49.6%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,West,Utah,2010-11,2010-11,117,4779,4779,4779,40.846153846,30%
95.3%,96%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Arkansas,2010-11,2010-11,43,297,297,297,6.906976744,30%
98.2%,96.8%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Kentucky,2010-11,2010-11,55,931,931,931,16.927272727,31%
95.8%,58.6%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Virginia,2010-11,2010-11,406,4145,4145,4145,10.209359606,31%
100%,100%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Arizona,2010-11,2010-11,7,41,41,41,5.857142857,31%
97.6%,98.7%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Hampshire,2010-11,2010-11,84,890,890,890,10.595238095,31%
77.8%,0.1%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Midwest,South Dakota,2010-11,2010-11,18,78217,78217,78217,4345.388888889,32%
83.3%,9.7%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Minnesota,2010-11,2010-11,54,101255,101255,101255,1875.092592593,32%
98.2%,22.2%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Michigan,2010-11,2010-11,278,21212,21212,21212,76.302158273,32%
95.4%,16.9%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Massachusetts,2010-11,2010-11,219,13550,13550,13550,61.872146119,35%
89%,21.3%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southeast,South Carolina,2010-11,2010-11,82,2757,2757,2757,33.621951220,39%
93.2%,7.3%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Florida,2010-11,2010-11,133,28065,28065,28065,211.015037594,40%
99.6%,99.9%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Ohio,2010-11,2010-11,242,1577,1577,1577,6.516528926,43%
97.8%,95.5%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Illinois,2010-11,2010-11,136,1045,1045,1045,7.683823529,45%
95.3%,4.4%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maine,2010-11,2010-11,106,14614,14614,14614,137.867924528,46%
100%,100%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Indiana,2010-11,2010-11,152,1205,1205,1205,7.927631579,46%
95.1%,56.8%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Connecticut,2010-11,2010-11,102,884,884,884,8.666666667,47%
95.5%,94.4%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Rhode Island,2010-11,2010-11,66,214,214,214,3.242424242,49%
97.7%,94.6%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Maryland,2010-11,2010-11,172,1456,1456,1456,8.465116279,50%
97.1%,53.6%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,West,Colorado,2010-11,2010-11,137,1744,1744,1744,12.729927007,53%
91.1%,85.5%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southeast,West Virginia,2010-11,2010-11,56,559,559,559,9.982142857,55%
92.2%,26.6%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New York,2010-11,2010-11,217,7912,7912,7912,36.460829493,59%
93.3%,86.9%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Delaware,2010-11,2010-11,15,61,61,61,4.066666667,59%
93.7%,22.1%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Georgia,2010-11,2010-11,143,6006,6006,6006,42,64%
96.4%,99.7%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Iowa,2010-11,2010-11,28,729,729,729,26.035714286,66%
96%,96.9%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Wisconsin,2010-11,2010-11,126,2904,2904,2904,23.047619048,66%
98.4%,52.7%,2010-2011,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Pennsylvania,2010-11,2010-11,430,7150,7150,7150,16.627906977,67%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Hawaii,Hawaii,2011-12,2011-12,29,9903,9903,9903,341.482758621,6%
81.8%,5.3%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Montana,2011-12,2011-12,33,22862,22862,22862,692.787878788,7%
95%,98.5%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Alabama,2011-12,2011-12,40,539,539,539,13.475,8%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Louisiana,2011-12,2011-12,23,2514,2514,2514,109.304347826,10%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Wyoming,2011-12,2011-12,6,3372,3372,3372,562,11%
96.6%,36.6%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Indiana,2011-12,2011-12,88,2168,2168,2168,24.636363636,11%
90.5%,56.7%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Idaho,2011-12,2011-12,42,12203,12203,12203,290.547619048,12%
97.9%,86.7%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Missouri,2011-12,2011-12,97,1454,1454,1454,14.989690722,12%
96.8%,98%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Rhode Island,2011-12,2011-12,31,152,152,152,4.903225806,13%
91.7%,19.8%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Oregon,2011-12,2011-12,144,36105,36105,36105,250.729166667,13%
97.7%,9.8%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Utah,2011-12,2011-12,85,4962,4962,4962,58.376470588,13%
71.4%,0.2%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,South Dakota,2011-12,2011-12,7,28448,28448,28448,4064,15%
95.1%,84%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Tennessee,2011-12,2011-12,102,1246,1246,1246,12.215686275,16%
98.3%,38.2%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Michigan,2011-12,2011-12,237,9293,9293,9293,39.210970464,18%
16.7%,3.5%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,North Dakota,2011-12,2011-12,12,60837,60837,60837,5069.75,18%
93.1%,5.9%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,Washington,2011-12,2011-12,130,45444,45444,45444,349.569230769,18%
95.5%,40%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Vermont,2011-12,2011-12,89,1923,1923,1923,21.606741573,18%
98.3%,98%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Virginia,2011-12,2011-12,533,3343,3343,3343,6.272045028,18%
87.5%,10.7%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Jersey,2011-12,2011-12,72,5195,5195,5195,72.152777778,19%
95.3%,13.4%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,South Carolina,2011-12,2011-12,86,5926,5926,5926,68.906976744,19%
100%,100%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southwest,Oklahoma,2011-12,2011-12,28,158,158,158,5.642857143,19%
96.4%,89.3%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Wisconsin,2011-12,2011-12,138,1594,1594,1594,11.550724638,19%
96.4%,16.6%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,Massachusetts,2011-12,2011-12,221,12212,12212,12212,55.257918552,19%
92.1%,83.5%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Northeast,New Hampshire,2011-12,2011-12,63,857,857,857,13.603174603,20%
97.6%,83.8%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Southeast,Arkansas,2011-12,2011-12,41,383,383,383,9.341463415,21%
91.3%,46.6%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Kansas,2011-12,2011-12,23,534,534,534,23.217391304,23%
85.4%,20.1%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,West,California,2011-12,2011-12,301,245111,245111,245111,814.322259136,23%
88.9%,0.4%,2009-2019,data/BIP Bee Colony Loss Clean.xlsx,Midwest,Nebraska,2011-12,2011-12,9,9038,9038,9038,1004.222222222,23%
